image_id,xmin,ymin,xmax,ymax,label
sunhl-1th-02-Jan-2017-162 A AP.jpg,348.0,71.0,507.0,119.0,1
sunhl-1th-02-Jan-2017-162 A AP.jpg,340.0,170.0,486.0,233.0,1
sunhl-1th-02-Jan-2017-162 A AP.jpg,331.0,257.0,476.0,331.0,1
sunhl-1th-02-Jan-2017-162 A AP.jpg,319.0,347.0,458.0,401.0,1
sunhl-1th-02-Jan-2017-162 A AP.jpg,300.0,407.0,468.0,494.0,1
sunhl-1th-02-Jan-2017-162 A AP.jpg,291.0,502.0,430.0,601.0,1
sunhl-1th-02-Jan-2017-162 A AP.jpg,248.0,600.0,429.0,717.0,1
sunhl-1th-02-Jan-2017-162 A AP.jpg,189.0,695.0,369.0,819.0,1
sunhl-1th-02-Jan-2017-162 A AP.jpg,151.0,823.0,334.0,926.0,1
sunhl-1th-02-Jan-2017-162 A AP.jpg,165.0,936.0,364.0,1072.0,1
sunhl-1th-02-Jan-2017-162 A AP.jpg,198.0,1044.0,415.0,1194.0,1
sunhl-1th-02-Jan-2017-162 A AP.jpg,280.0,1155.0,481.0,1306.0,1
sunhl-1th-02-Jan-2017-162 A AP.jpg,331.0,1277.0,569.0,1439.0,2
sunhl-1th-02-Jan-2017-162 A AP.jpg,384.0,1453.0,586.0,1568.0,2
sunhl-1th-02-Jan-2017-162 A AP.jpg,379.0,1613.0,578.0,1731.0,2
sunhl-1th-02-Jan-2017-162 A AP.jpg,318.0,1738.0,558.0,1903.0,2
sunhl-1th-02-Jan-2017-162 A AP.jpg,283.0,1886.0,515.0,2029.0,2
sunhl-1th-02-Jan-2017-162 B AP.jpg,523.0,83.0,712.0,160.0,1
sunhl-1th-02-Jan-2017-162 B AP.jpg,500.0,170.0,700.0,266.0,1
sunhl-1th-02-Jan-2017-162 B AP.jpg,474.0,281.0,674.0,378.0,1
sunhl-1th-02-Jan-2017-162 B AP.jpg,405.0,391.0,641.0,530.0,1
sunhl-1th-02-Jan-2017-162 B AP.jpg,361.0,518.0,613.0,635.0,1
sunhl-1th-02-Jan-2017-162 B AP.jpg,309.0,633.0,615.0,743.0,1
sunhl-1th-02-Jan-2017-162 B AP.jpg,245.0,719.0,590.0,856.0,1
sunhl-1th-02-Jan-2017-162 B AP.jpg,235.0,818.0,573.0,971.0,1
sunhl-1th-02-Jan-2017-162 B AP.jpg,232.0,998.0,577.0,1128.0,1
sunhl-1th-02-Jan-2017-162 B AP.jpg,324.0,1053.0,568.0,1264.0,1
sunhl-1th-02-Jan-2017-162 B AP.jpg,436.0,1169.0,696.0,1377.0,1
sunhl-1th-02-Jan-2017-162 B AP.jpg,550.0,1282.0,777.0,1468.0,1
sunhl-1th-02-Jan-2017-162 B AP.jpg,624.0,1422.0,852.0,1574.0,2
sunhl-1th-02-Jan-2017-162 B AP.jpg,616.0,1612.0,862.0,1738.0,2
sunhl-1th-02-Jan-2017-162 B AP.jpg,529.0,1771.0,821.0,1916.0,2
sunhl-1th-02-Jan-2017-162 B AP.jpg,450.0,1891.0,735.0,2119.0,2
sunhl-1th-02-Jan-2017-162 B AP.jpg,392.0,2093.0,700.0,2262.0,2
sunhl-1th-03-Jan-2017-163 A AP.jpg,150.0,35.0,311.0,73.0,1
sunhl-1th-03-Jan-2017-163 A AP.jpg,156.0,90.0,295.0,125.0,1
sunhl-1th-03-Jan-2017-163 A AP.jpg,160.0,140.0,290.0,177.0,1
sunhl-1th-03-Jan-2017-163 A AP.jpg,144.0,196.0,287.0,256.0,1
sunhl-1th-03-Jan-2017-163 A AP.jpg,142.0,286.0,277.0,349.0,1
sunhl-1th-03-Jan-2017-163 A AP.jpg,144.0,363.0,278.0,392.0,1
sunhl-1th-03-Jan-2017-163 A AP.jpg,147.0,438.0,279.0,476.0,1
sunhl-1th-03-Jan-2017-163 A AP.jpg,146.0,512.0,279.0,546.0,1
sunhl-1th-03-Jan-2017-163 A AP.jpg,139.0,580.0,268.0,615.0,1
sunhl-1th-03-Jan-2017-163 A AP.jpg,127.0,656.0,261.0,694.0,1
sunhl-1th-03-Jan-2017-163 A AP.jpg,115.0,727.0,254.0,787.0,1
sunhl-1th-03-Jan-2017-163 A AP.jpg,97.0,813.0,250.0,873.0,1
sunhl-1th-03-Jan-2017-163 A AP.jpg,88.0,915.0,252.0,973.0,2
sunhl-1th-03-Jan-2017-163 A AP.jpg,69.0,997.0,246.0,1068.0,2
sunhl-1th-03-Jan-2017-163 A AP.jpg,59.0,1111.0,258.0,1177.0,2
sunhl-1th-03-Jan-2017-163 A AP.jpg,53.0,1216.0,283.0,1324.0,2
sunhl-1th-03-Jan-2017-163 A AP.jpg,79.0,1287.0,325.0,1420.0,2
sunhl-1th-03-Jan-2017-163 B AP.jpg,260.0,34.0,402.0,86.0,1
sunhl-1th-03-Jan-2017-163 B AP.jpg,265.0,106.0,394.0,157.0,1
sunhl-1th-03-Jan-2017-163 B AP.jpg,249.0,174.0,403.0,234.0,1
sunhl-1th-03-Jan-2017-163 B AP.jpg,244.0,257.0,397.0,312.0,1
sunhl-1th-03-Jan-2017-163 B AP.jpg,241.0,344.0,380.0,417.0,1
sunhl-1th-03-Jan-2017-163 B AP.jpg,244.0,450.0,370.0,525.0,1
sunhl-1th-03-Jan-2017-163 B AP.jpg,235.0,548.0,359.0,600.0,1
sunhl-1th-03-Jan-2017-163 B AP.jpg,206.0,617.0,354.0,686.0,1
sunhl-1th-03-Jan-2017-163 B AP.jpg,176.0,700.0,331.0,775.0,1
sunhl-1th-03-Jan-2017-163 B AP.jpg,157.0,800.0,302.0,865.0,1
sunhl-1th-03-Jan-2017-163 B AP.jpg,138.0,898.0,286.0,969.0,1
sunhl-1th-03-Jan-2017-163 B AP.jpg,106.0,1003.0,270.0,1077.0,1
sunhl-1th-03-Jan-2017-163 B AP.jpg,79.0,1112.0,270.0,1193.0,2
sunhl-1th-03-Jan-2017-163 B AP.jpg,83.0,1213.0,277.0,1301.0,2
sunhl-1th-03-Jan-2017-163 B AP.jpg,164.0,1308.0,329.0,1410.0,2
sunhl-1th-03-Jan-2017-163 B AP.jpg,192.0,1365.0,348.0,1473.0,2
sunhl-1th-03-Jan-2017-163 B AP.jpg,194.0,1403.0,376.0,1489.0,2
sunhl-1th-03-Jan-2017-164 A AP.jpg,221.0,69.0,375.0,105.0,1
sunhl-1th-03-Jan-2017-164 A AP.jpg,220.0,136.0,365.0,190.0,1
sunhl-1th-03-Jan-2017-164 A AP.jpg,238.0,210.0,352.0,274.0,1
sunhl-1th-03-Jan-2017-164 A AP.jpg,230.0,315.0,340.0,385.0,1
sunhl-1th-03-Jan-2017-164 A AP.jpg,221.0,412.0,344.0,481.0,1
sunhl-1th-03-Jan-2017-164 A AP.jpg,216.0,508.0,332.0,577.0,1
sunhl-1th-03-Jan-2017-164 A AP.jpg,196.0,597.0,348.0,669.0,1
sunhl-1th-03-Jan-2017-164 A AP.jpg,198.0,698.0,347.0,773.0,1
sunhl-1th-03-Jan-2017-164 A AP.jpg,202.0,797.0,354.0,873.0,1
sunhl-1th-03-Jan-2017-164 A AP.jpg,199.0,906.0,361.0,982.0,1
sunhl-1th-03-Jan-2017-164 A AP.jpg,197.0,1012.0,351.0,1102.0,1
sunhl-1th-03-Jan-2017-164 A AP.jpg,189.0,1140.0,356.0,1244.0,1
