image_id,xmin,ymin,xmax,ymax,label
sunhl-1th-02-Jan-2017-162 A AP.jpg,334.0,67.0,521.0,123.0,1
sunhl-1th-02-Jan-2017-162 A AP.jpg,328.0,165.0,498.0,238.0,1
sunhl-1th-02-Jan-2017-162 A AP.jpg,319.0,250.0,488.0,338.0,1
sunhl-1th-02-Jan-2017-162 A AP.jpg,308.0,343.0,469.0,405.0,1
sunhl-1th-02-Jan-2017-162 A AP.jpg,285.0,400.0,483.0,501.0,1
sunhl-1th-02-Jan-2017-162 A AP.jpg,280.0,494.0,441.0,609.0,1
sunhl-1th-02-Jan-2017-162 A AP.jpg,233.0,590.0,444.0,727.0,1
sunhl-1th-02-Jan-2017-162 A AP.jpg,174.0,684.0,384.0,830.0,1
sunhl-1th-02-Jan-2017-162 A AP.jpg,136.0,814.0,349.0,935.0,1
sunhl-1th-02-Jan-2017-162 A AP.jpg,148.0,925.0,381.0,1083.0,1
sunhl-1th-02-Jan-2017-162 A AP.jpg,180.0,1031.0,433.0,1207.0,1
sunhl-1th-02-Jan-2017-162 A AP.jpg,263.0,1142.0,498.0,1319.0,1
sunhl-1th-02-Jan-2017-162 A AP.jpg,311.0,1263.0,589.0,1453.0,2
sunhl-1th-02-Jan-2017-162 A AP.jpg,367.0,1443.0,603.0,1578.0,2
sunhl-1th-02-Jan-2017-162 A AP.jpg,362.0,1603.0,595.0,1741.0,2
sunhl-1th-02-Jan-2017-162 A AP.jpg,298.0,1724.0,578.0,1917.0,2
sunhl-1th-02-Jan-2017-162 A AP.jpg,264.0,1874.0,534.0,2041.0,2
sunhl-1th-02-Jan-2017-162 B AP.jpg,507.0,76.0,728.0,167.0,1
sunhl-1th-02-Jan-2017-162 B AP.jpg,483.0,162.0,717.0,274.0,1
sunhl-1th-02-Jan-2017-162 B AP.jpg,457.0,273.0,691.0,386.0,1
sunhl-1th-02-Jan-2017-162 B AP.jpg,385.0,380.0,661.0,541.0,1
sunhl-1th-02-Jan-2017-162 B AP.jpg,339.0,508.0,635.0,645.0,1
sunhl-1th-02-Jan-2017-162 B AP.jpg,284.0,624.0,640.0,752.0,1
sunhl-1th-02-Jan-2017-162 B AP.jpg,217.0,708.0,618.0,867.0,1
sunhl-1th-02-Jan-2017-162 B AP.jpg,206.0,805.0,602.0,984.0,1
sunhl-1th-02-Jan-2017-162 B AP.jpg,204.0,988.0,605.0,1138.0,1
sunhl-1th-02-Jan-2017-162 B AP.jpg,303.0,1035.0,589.0,1282.0,1
sunhl-1th-02-Jan-2017-162 B AP.jpg,415.0,1151.0,717.0,1395.0,1
sunhl-1th-02-Jan-2017-162 B AP.jpg,531.0,1266.0,796.0,1484.0,1
sunhl-1th-02-Jan-2017-162 B AP.jpg,605.0,1409.0,871.0,1587.0,2
sunhl-1th-02-Jan-2017-162 B AP.jpg,595.0,1601.0,883.0,1749.0,2
sunhl-1th-02-Jan-2017-162 B AP.jpg,504.0,1759.0,846.0,1928.0,2
sunhl-1th-02-Jan-2017-162 B AP.jpg,426.0,1872.0,759.0,2138.0,2
sunhl-1th-02-Jan-2017-162 B AP.jpg,366.0,2078.0,726.0,2277.0,2
sunhl-1th-03-Jan-2017-163 A AP.jpg,136.0,31.0,325.0,77.0,1
sunhl-1th-03-Jan-2017-163 A AP.jpg,145.0,87.0,306.0,128.0,1
sunhl-1th-03-Jan-2017-163 A AP.jpg,150.0,136.0,300.0,181.0,1
sunhl-1th-03-Jan-2017-163 A AP.jpg,132.0,191.0,299.0,261.0,1
sunhl-1th-03-Jan-2017-163 A AP.jpg,131.0,281.0,288.0,354.0,1
sunhl-1th-03-Jan-2017-163 A AP.jpg,133.0,360.0,289.0,395.0,1
sunhl-1th-03-Jan-2017-163 A AP.jpg,136.0,434.0,290.0,480.0,1
sunhl-1th-03-Jan-2017-163 A AP.jpg,135.0,509.0,290.0,549.0,1
sunhl-1th-03-Jan-2017-163 A AP.jpg,129.0,577.0,278.0,618.0,1
sunhl-1th-03-Jan-2017-163 A AP.jpg,116.0,652.0,272.0,698.0,1
sunhl-1th-03-Jan-2017-163 A AP.jpg,104.0,722.0,265.0,792.0,1
sunhl-1th-03-Jan-2017-163 A AP.jpg,84.0,808.0,263.0,878.0,1
sunhl-1th-03-Jan-2017-163 A AP.jpg,74.0,910.0,266.0,978.0,2
sunhl-1th-03-Jan-2017-163 A AP.jpg,55.0,991.0,260.0,1074.0,2
sunhl-1th-03-Jan-2017-163 A AP.jpg,42.0,1105.0,275.0,1183.0,2
sunhl-1th-03-Jan-2017-163 A AP.jpg,34.0,1207.0,302.0,1333.0,2
sunhl-1th-03-Jan-2017-163 A AP.jpg,58.0,1276.0,346.0,1431.0,2
sunhl-1th-03-Jan-2017-163 B AP.jpg,248.0,30.0,414.0,90.0,1
sunhl-1th-03-Jan-2017-163 B AP.jpg,255.0,102.0,404.0,161.0,1
sunhl-1th-03-Jan-2017-163 B AP.jpg,236.0,169.0,416.0,239.0,1
sunhl-1th-03-Jan-2017-163 B AP.jpg,231.0,253.0,410.0,316.0,1
sunhl-1th-03-Jan-2017-163 B AP.jpg,230.0,338.0,391.0,423.0,1
sunhl-1th-03-Jan-2017-163 B AP.jpg,233.0,443.0,381.0,532.0,1
sunhl-1th-03-Jan-2017-163 B AP.jpg,224.0,544.0,370.0,604.0,1
sunhl-1th-03-Jan-2017-163 B AP.jpg,194.0,611.0,366.0,692.0,1
sunhl-1th-03-Jan-2017-163 B AP.jpg,163.0,693.0,344.0,782.0,1
sunhl-1th-03-Jan-2017-163 B AP.jpg,145.0,794.0,314.0,871.0,1
sunhl-1th-03-Jan-2017-163 B AP.jpg,126.0,892.0,298.0,975.0,1
sunhl-1th-03-Jan-2017-163 B AP.jpg,92.0,996.0,284.0,1084.0,1
